code	char	hl-script	in-dict	in-strokes	script-mismatch	dict-simp-count	dict-trad-count
U+0031	1	na	yes	no	no	2	2
U+0032	2	na	yes	no	no	1	1
U+0033	3	na	yes	no	no	1	1
U+0035	5	na	yes	no	no	1	1
U+0041	A	na	yes	no	no	5	5
U+0042	B	na	yes	no	no	9	9
U+0043	C	na	yes	no	no	3	3
U+0044	D	na	yes	no	no	1	1
U+0045	E	na	yes	no	no	1	1
U+0047	G	na	yes	no	no	2	2
U+004B	K	na	yes	no	no	10	10
U+004C	L	na	yes	no	no	1	1
U+004D	M	na	yes	no	no	2	2
U+004E	N	na	yes	no	no	2	2
U+004F	O	na	yes	no	no	3	3
U+0050	P	na	yes	no	no	4	4
U+0051	Q	na	yes	no	no	4	4
U+0053	S	na	yes	no	no	2	2
U+0054	T	na	yes	no	no	4	4
U+0055	U	na	yes	no	no	4	4
U+0056	V	na	yes	no	no	2	2
U+0058	X	na	yes	no	no	1	1
U+25CB	○	na	yes	no	no	1	1
U+2E85	⺅	na	no	yes	no	0	0
U+2E96	⺖	na	no	yes	no	0	0
U+2E98	⺘	na	no	yes	no	0	0
U+2EA1	⺡	na	no	yes	no	0	0
U+2EA8	⺨	na	no	yes	no	0	0
U+2EA9	⺩	na	no	yes	no	0	0
U+2EAD	⺭	na	no	yes	no	0	0
U+2EAE	⺮	na	no	yes	no	0	0
U+2EB0	⺰	na	no	yes	no	0	0
U+2EB2	⺲	na	no	yes	no	0	0
U+2EB6	⺶	na	no	yes	no	0	0
U+2EBC	⺼	na	no	yes	no	0	0
U+2ECA	⻊	na	no	yes	no	0	0
U+2ECF	⻏	na	no	yes	no	0	0
U+2ED6	⻖	na	no	yes	no	0	0
U+2ED7	⻗	na	no	yes	no	0	0
U+3001	、	na	yes	no	no	1	1
U+3007	〇	na	yes	no	no	1	1
U+3021	〡	na	yes	no	no	1	1
U+3022	〢	na	yes	no	no	1	1
U+3023	〣	na	yes	no	no	1	1
U+3024	〤	na	yes	no	no	1	1
U+3025	〥	na	yes	no	no	1	1
U+3026	〦	na	yes	no	no	1	1
U+3027	〧	na	yes	no	no	1	1
U+3028	〨	na	yes	no	no	1	1
U+3029	〩	na	yes	no	no	1	1
U+30FB	・	na	yes	no	no	200	200
U+3404	㐄	na	yes	no	no	1	1
