Simp-Uni	Simp-C	S-attest	Trad
\u4056	䁖	2	瞜
\u4264	䉤	1	籔
\u4337	䌷	1	紬
\u4338	䌸	1	縳
\u4339	䌹	1	絅
\u433D	䌽	2	綵
\u4341	䍁	1	繸
\u44D5	䓕	1	薳
\u45D6	䗖	2	螮
\u4653	䙓	1	襬
\u4723	䜣	3	訢
\u4729	䜩	1	讌
\u4759	䝙	1	貙
\u4A44	䩄	1	靦
\u4BC4	䯄	1	騧
\u4CA0	䲠	2	鰆
\u4D14	䴔	1	鵁
\u4D15	䴕	1	鴷
\u4D18	䴘	4	鷈鷉
\u4D19	䴙	4	鷿鸊
\u4DAE	䶮	1	龑
\u4E07	万	239	萬
\u4E0E	与	68	與
\u4E10	丐	5	匃匄
\u4E11	丑	42	醜
\u4E13	专	109	專耑
\u4E18	丘	63	坵
\u4E1A	业	339	業
\u4E1B	丛	20	叢
\u4E1C	东	409	東
\u4E1D	丝	128	絲
\u4E22	丢	29	丟
\u4E24	两	150	兩
\u4E25	严	83	嚴
\u4E27	丧	73	喪
\u4E2A	个	121	個箇
\u4E2C	丬	1	爿
\u4E30	丰	108	豐
\u4E34	临	167	臨
\u4E3A	为	273	為爲
\u4E3D	丽	106	麗
\u4E3E	举	111	舉擧
\u4E43	乃	22	廼迺
\u4E48	么	55	麼麽
\u4E49	义	407	義
\u4E4C	乌	159	烏
\u4E50	乐	296	樂
\u4E54	乔	43	喬
\u4E58	乘	60	椉
\u4E60	习	79	習
\u4E61	乡	360	鄉
\u4E66	书	338	書
\u4E70	买	56	買
\u4E71	乱	139	亂
\u4E7E	乾	119	乹亁
\u4E86	了	134	瞭
\u4E89	争	130	爭
\u4E8E	于	181	於
\u4E8F	亏	39	虧
\u4E91	云	189	雲
\u4E98	亘	7	亙
\u4E9A	亚	485	亞
\u4EA1	亡	69	亾
\u4EA7	产	247	產
\u4EA9	亩	8	畝畂畆畮
\u4EAB	享	28	亯
\u4EB2	亲	156	親
\u4EB5	亵	11	褻
\u4EB8	亸	1	嚲
\u4EBF	亿	13	億
\u4EC0	什	89	甚
\u4EC5	仅	13	僅
\u4EC6	仆	20	僕
\u4ECE	从	108	從
\u4ED1	仑	29	崙侖崘
\u4ED3	仓	42	倉
\u4ED9	仙	88	僊
\u4EE5	以	266	㕥㠯
\u4EEA	仪	82	儀
\u4EEC	们	24	們
\u4EF7	价	163	價
\u4EFF	仿	34	倣彷
\u4F17	众	104	眾衆
\u4F18	优	62	優
\u4F19	伙	36	夥
\u4F1A	会	617	會
\u4F1B	伛	1	傴
\u4F1E	伞	23	傘繖
\u4F1F	伟	27	偉
\u4F20	传	298	傳
\u4F23	伣	1	俔
\u4F24	伤	148	傷
\u4F25	伥	3	倀
\u4F26	伦	100	倫
\u4F27	伧	2	傖
\u4F2A	伪	29	偽僞
\u4F2B	伫	4	佇竚
\u4F3C	似	48	佀
\u4F53	体	560	體
\u4F59	余	131	餘
\u4F5B	佛	128	彿髴
\u4F63	佣	17	傭
\u4F65	佥	1	僉
\u4F69	佩	39	珮
\u4F83	侃	12	偘
\u4F84	侄	12	姪妷
\u4FA0	侠	23	俠
\u4FA3	侣	12	侶
\u4FA5	侥	4	僥
\u4FA6	侦	23	偵遉
\u4FA7	侧	53	側
\u4FA8	侨	14	僑
\u4FA9	侩	3	儈
\u4FAA	侪	8	儕
\u4FAC	侬	5	儂
\u4FCA	俊	23	㑺儁
\u4FDF	俟	6	竢
\u4FE3	俣	3	俁
\u4FE6	俦	1	儔
\u4FE8	俨	3	儼
\u4FE9	俩	5	倆
\u4FEA	俪	5	儷
\u4FED	俭	42	儉
\u4FEE	修	138	脩
\u4FEF	俯	22	俛頫
\u500F	倏	6	倐儵
\u501F	借	83	藉
\u5026	倦	15	勌
\u503A	债	55	債
\u503E	倾	64	傾
\u5047	假	152	叚
\u506C	偬	3	傯
\u507B	偻	5	僂
\u507E	偾	1	僨
\u507F	偿	24	償
\u50A4	傤	1	儎
\u50A5	傥	2	儻
\u50A7	傧	4	儐
\u50A8	储	51	儲
\u50A9	傩	3	儺
\u50F5	僵	22	殭
\u513F	儿	745	兒
\u514B	克	601	剋尅
